Date,Initials,Clinic,User,Reason,Note,Resolution,Ticket,Escalated,Technician,0-3,4-10,11-20,21-30,31+,Remote session,3+ topics,BP Reinstall,JIRA
2/23,SF,ON_tot,Denise,Out of scope,Directed to call the other support number listed in admin.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,LB,NY_lhd,Emily,Dashboard,Questions about the appointment filter (want inactive appointment types removed as an option). Will create a ticket for L2 to see if they can make this happen.,Unresolved,267418,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,LR,AZ_azd,Belinda,New clinic support,Introductory OBC - super nice :-) will follow up with training materials. See training log for details.,Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,mm,GA_ahs,Casie,Cloud Noah issue,needed help updating Noah and reconnecting it to the server. ,Resolved,267356,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,mm,ON_chs,Amanda,Signature pad issues,"was trying to fix signature pad by deleting bp install, but didn't have the launch link to reinstall. Helped to reinstall bp and made sure sig pad was working.",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,
2/23,AS,LA_aha,Joe,Cloud Noah issue,"Getting NOAH error 308, repairing from control panel fixed it.",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,SF,FL_aff,Guelsy,Setup configuration,"Moved to new location, needed to change location address. Talked her through how to do so in Setup.

System name is Diaz Hearing, but that's not showing in admin.",Resolved,,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,SF,IA_mor,Martha,Noah reintegration,"Called her for reint per ticket. Didn't pick up, so I left a voicemail.",Waiting on Customer,267077,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
2/23,SF,IA_mor,Martha,Noah reintegration,"Called back to reintegrate. Bada-bing, bada-boom.",Resolved,267077,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,
2/23,AS,IL_nsa,Daria,Out of scope,"Saving ar reports in onedrive, just needed to know where to look for them",Resolved,,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,
